Category: Arts & Entertainment,,,,,,,,,,,,,,,,,
,660,946,846,257,35,250,803,194,318,299,768,3087,1390,928,1787,5100,7816
Month,Leonardo Da Vinci: (Worldwide),Vincent van Gogh: (Worldwide),Pablo Picasso: (Worldwide),Claude Monet: (Worldwide),Johannes Vermeer: (Worldwide),Edvard Munch: (Worldwide),Salvador Dalí: (Worldwide),René Magritte: (Worldwide),Henri Matisse: (Worldwide),Rembrandt: (Worldwide),Edgar Degas: (Worldwide),Frida Kahlo: (Worldwide),Paul Cézanne: (Worldwide),Titian: (Worldwide),Jackson Pollock: (Worldwide),Caravaggio: (Worldwide),Gustav Klimt: (Worldwide)
2004-01,6,7,8,2,1,1,9,2,3,3,8,22,12,10,14,26,54
2004-02,7,7,8,2,1,1,10,2,3,2,9,22,13,11,15,40,55
2004-03,8,8,10,2,1,1,11,2,3,2,9,21,14,10,17,37,52
2004-04,7,7,9,2,1,1,10,2,3,3,10,20,14,11,16,35,49
2004-05,7,7,11,2,1,1,13,2,3,2,10,21,13,9,16,35,46
2004-06,5,5,6,1,1,1,8,2,2,2,6,15,8,7,10,22,41
2004-07,5,4,3,1,1,1,5,1,1,1,3,14,5,5,8,17,33
2004-08,5,4,4,1,<1,3,5,1,2,2,5,13,5,7,8,16,34
2004-09,7,6,7,2,1,2,7,2,3,2,7,17,12,9,10,25,49
2004-10,6,6,8,2,1,1,7,2,3,2,8,20,15,9,13,30,46
2004-11,6,8,8,2,1,1,8,2,3,2,9,21,15,10,13,38,50
2004-12,5,5,6,2,1,1,7,1,2,2,6,15,10,9,10,27,45
2005-01,7,5,6,2,1,1,6,2,3,2,7,15,12,9,11,29,47
2005-02,6,6,7,2,1,1,7,2,3,2,7,18,11,8,12,35,50
2005-03,7,70,7,2,1,2,8,2,3,2,7,18,10,10,12,43,52
2005-04,100,8,8,2,1,1,8,2,3,2,8,18,12,10,14,42,55
2005-05,6,7,8,2,1,1,9,2,3,2,7,18,12,8,15,38,49
2005-06,4,5,5,1,<1,1,5,1,2,1,5,15,9,7,9,23,39
2005-07,3,4,3,1,<1,1,4,1,1,1,3,12,4,5,6,17,35
2005-08,4,3,3,1,<1,1,5,1,1,1,4,12,5,5,7,15,32
2005-09,5,6,6,1,<1,1,5,2,3,2,5,16,10,7,9,22,46
2005-10,5,5,7,1,<1,1,6,2,3,2,7,19,10,8,10,36,60
2005-11,5,6,7,2,<1,1,6,2,3,2,8,17,12,7,12,39,62
2005-12,3,4,5,1,<1,1,4,1,2,2,5,13,8,6,9,33,54
2006-01,4,5,6,1,<1,1,5,1,3,3,5,15,10,7,9,34,71
2006-02,4,5,6,1,<1,1,6,2,3,3,5,18,11,7,9,37,52
2006-03,5,5,7,1,<1,1,6,2,3,3,6,17,13,7,11,40,49
2006-04,5,5,6,1,<1,1,5,2,2,3,6,14,13,8,10,39,46
2006-05,9,6,7,2,<1,1,6,2,2,2,6,15,14,7,10,40,50
2006-06,5,4,5,1,<1,1,4,1,2,2,5,11,12,6,8,25,67
2006-07,2,2,3,1,<1,<1,3,1,1,2,3,9,8,4,6,13,41
2006-08,2,3,3,1,<1,1,3,1,1,2,3,10,9,5,7,14,37
2006-09,3,4,5,1,<1,1,4,1,2,2,4,11,10,6,10,25,46
2006-10,4,4,6,1,<1,1,5,1,2,2,5,13,9,7,11,30,48
2006-11,4,5,6,1,<1,1,5,1,2,2,4,12,9,7,19,33,52
2006-12,3,4,4,1,<1,100,4,1,1,2,4,10,5,6,10,26,46
2007-01,3,4,5,1,<1,1,4,1,2,2,4,10,7,6,9,26,51
2007-02,3,4,5,1,<1,1,4,1,2,2,4,11,6,6,9,23,44
2007-03,4,5,5,1,<1,1,5,1,2,2,5,11,8,6,10,26,41
2007-04,3,4,5,1,<1,1,4,1,2,1,5,12,7,5,10,25,36
2007-05,3,4,5,1,<1,1,5,1,2,1,5,12,8,6,13,25,40
2007-06,2,3,4,1,<1,1,4,1,2,1,4,12,5,5,8,20,36
2007-07,1,2,2,<1,<1,<1,3,1,1,1,2,12,3,4,6,14,26
2007-08,2,3,3,1,<1,<1,3,1,1,1,3,11,3,3,7,12,29
2007-09,3,4,4,1,<1,1,4,1,1,1,3,12,6,5,8,18,36
2007-10,3,4,5,1,<1,1,4,1,2,1,4,13,7,6,9,24,39
2007-11,3,4,5,1,<1,1,4,1,2,1,4,12,7,6,9,27,36
2007-12,2,3,4,1,<1,1,4,1,1,1,3,10,4,5,7,22,36
2008-01,2,3,4,1,<1,1,4,1,1,1,4,9,6,5,8,21,40
2008-02,3,4,4,1,<1,1,4,1,1,1,4,11,6,6,8,54,37
2008-03,3,4,4,1,<1,1,4,1,1,1,5,12,6,5,9,29,36
2008-04,3,4,4,1,<1,1,4,1,1,1,5,11,7,5,9,22,35
2008-05,3,3,4,1,<1,1,4,1,1,1,4,11,6,5,9,22,36
2008-06,2,3,4,1,<1,<1,3,1,1,1,3,9,5,4,7,16,34
2008-07,1,2,2,<1,<1,<1,2,<1,1,1,2,9,2,3,5,11,29
2008-08,1,2,2,1,<1,<1,3,<1,1,1,2,9,3,3,5,12,35
2008-09,2,3,4,1,<1,1,4,1,1,1,3,11,6,4,8,18,32
2008-10,3,4,4,1,<1,1,4,1,1,1,4,11,6,5,9,20,35
